cohort,coin,observations,coverage_pct,first_observation_utc,last_observation_utc,hours_stale_at_cutoff,positive_hours_pct,negative_hours_pct,simple_cumulative_funding_1x_pct,constant_2x_funding_pct_of_starting_equity,annualized_arithmetic_mean_1x_pct
core_crypto,POLYX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,66.2962962963,33.7037037037,-13.1129433300,-26.2258866600,-53.1802701717
core_crypto,POPCAT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,83.5185185185,16.4814814815,1.2427888300,2.4855776600,5.0401991439
core_crypto,PURR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,96.5740740741,3.4259259259,5.3699057200,10.7398114400,21.7779509756
core_crypto,PYTH,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,70.6481481481,29.3518518519,0.3438961200,0.6877922400,1.3946898200
core_crypto,RENDER,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,85.9722222222,14.0277777778,1.6603176300,3.3206352600,6.7335103883
core_crypto,RESOLV,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,89.3518518519,10.6481481481,0.8578777600,1.7157555200,3.4791709156
core_crypto,REZ,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,76.3425925926,23.6574074074,-8.7669011200,-17.5338022400,-35.5546545422
core_crypto,RSR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,93.8888888889,6.1111111111,2.0416630200,4.0833260400,8.2800778033
core_crypto,RUNE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,94.6759259259,5.3240740741,2.2318272400,4.4636544800,9.0512993622
core_crypto,S,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,51.3888888889,48.6111111111,-3.0174888100,-6.0349776200,-12.2375935072
core_crypto,SAGA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,74.8611111111,25.1388888889,-0.1350408500,-0.2700817000,-0.5476656694
core_crypto,SAND,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,65.9259259259,34.0740740741,-0.1791700800,-0.3583401600,-0.7266342133
core_crypto,SEI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,51.8055555556,48.1944444444,-1.6663850400,-3.3327700800,-6.7581171067
core_crypto,SNX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,69.2592592593,30.7407407407,-1.0008415400,-2.0016830800,-4.0589684678
core_crypto,SOL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,58.3333333333,41.6666666667,0.1203950300,0.2407900600,0.4882687328
core_crypto,SOPH,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,84.5833333333,15.4166666667,-3.0417758000,-6.0835516000,-12.3360907444
core_crypto,SPX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,89.0740740741,10.9259259259,1.8333533200,3.6667066400,7.4352662422
core_crypto,STRK,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,49.0740740741,50.9259259259,-2.2400332800,-4.4800665600,-9.0845794133
core_crypto,STX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,61.1574074074,38.8425925926,-1.1808456200,-2.3616912400,-4.7889850144
